name,image,image_local,wiki,icon,icon_local,personality,species,birthday,catchphrase,gender,coffee,milk,milk_numeric,sugar,sugar_numeric,song,style,rank,tier,primary_col,secondary_col,tertiary_col,col_guess_20,col_guess_10
Ankha,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Ankha_poster.png/revision/latest?cb=20200410182618,villager_models/Ankha.png,/wiki/Ankha,https://nookipedia.com/w/images/1/12/Ankha_NH_Icon.png,villager_icons/Ankha.png,Snooty,Cat,September 22nd,me meow,Female,Killimanjaro,No milk,0,No sugar,0,Marine Song 2001,Historical,23,2,#fefe5c,#153d74,#153d73,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Angus,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e9/NH-Angus_poster.png/revision/latest?cb=20200328180416,villager_models/Angus.png,/wiki/Angus,https://nookipedia.com/w/images/9/9d/Angus_NH_Icon.png,villager_icons/Angus.png,Cranky,Bull,April 30th,macmoo,Male,Killimanjaro,No milk,0,No sugar,0,Señor K.K.,Rock n roll,288,6,#f4d77a,#ff6c00,#fffeff,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Anicotti,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/NH-Anicotti_poster.png/revision/latest?cb=20200410192311,villager_models/Anicotti.png,/wiki/Anicotti,https://nookipedia.com/w/images/a/ac/Anicotti_NH_Icon.png,villager_icons/Anicotti.png,Peppy,Mouse,February 24th,cannoli,Female,Mocha,No milk,0,No sugar,0,Neapolitan,Flashy,288,6,#58c67c,#ffb9fc,#503923,Neon Blue/Green,"Mid Blues, Cyans & Teals"
Annalisa,https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/NH-Annalisa_poster.png/revision/latest?cb=20200328180436,villager_models/Annalisa.png,/wiki/Annalisa,https://nookipedia.com/w/images/4/4e/Annalisa_NH_Icon.png,villager_icons/Annalisa.png,Normal,Anteater,February 6th,gumdrop,Female,Mocha,Regular milk,2,Two spoons,2,King K.K.,Iconic,173,5,#feffff,#ffffff,#d1d1d1,White/Lightest Pastel,White/Light Pastels
Annalise,https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/NH-Annalise_poster.png/revision/latest?cb=20200328180443,villager_models/Annalise.png,/wiki/Annalise,https://nookipedia.com/w/images/c/cb/Annalise_NH_Icon.png,villager_icons/Annalise.png,Snooty,Horse,December 2nd,nipper,Female,House Blend,Lots of milk,3,Three spoons,3,K.K. Sonata,Official,174,5,#5f3f28,#b57e5d,#df577f,Mid Grey,Greys
Antonio,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/NH-Antonio_poster.png/revision/latest?cb=20200328180450,villager_models/Antonio.png,/wiki/Antonio,https://nookipedia.com/w/images/0/02/Antonio_NH_Icon.png,villager_icons/Antonio.png,Jock,Anteater,October 20th,honk,Male,Killimanjaro,Little milk,1,One spoon,1,K.K. Faire,Basic,110,4,#fff9c5,#2d0505,#e3d3a5,White/Lightest Pastel,White/Light Pastels
Apollo,https://vignette.wikia.nocookie.net/animalcrossing/images/7/78/NH-Apollo_poster.png/revision/latest?cb=20200410191419,villager_models/Apollo.png,/wiki/Apollo,https://nookipedia.com/w/images/7/72/Apollo_NH_Icon.png,villager_icons/Apollo.png,Cranky,Eagle,July 4th,pah,Male,Killimanjaro,Little milk,1,One spoon,1,K.K. Rock,Rock n roll,53,3,#fffefe,#ffcc03,#ffffff,White/Lightest Pastel,White/Light Pastels
Apple,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/NH-Apple_poster.png/revision/latest?cb=20200328180516,villager_models/Apple.png,/wiki/Apple_(villager),https://nookipedia.com/w/images/d/d7/Apple_NH_Icon.png,villager_icons/Apple.png,Peppy,Hamster,September 24th,cheekers,Female,House Blend,Regular milk,2,Two spoons,2,I Love You,Cute,99,4,#fe8f8e,#fff5ea,#141111,Orange,"Yellows, Oranges & Ochres"
Astrid,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/NH-Astrid_poster.png/revision/latest?cb=20200328180524,villager_models/Astrid.png,/wiki/Astrid,https://nookipedia.com/w/images/3/36/Astrid_NH_Icon.png,villager_icons/Astrid.png,Snooty,Kangaroo,September 8th,my pet,Female,Blue Mountain,Little milk,1,One spoon,1,I Love You,Rock n roll,288,6,#faf6f1,#a92703,#fe97fe,White/Lightest Pastel,White/Light Pastels
Audie,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-Audie_poster.png/revision/latest?cb=20200410183255,villager_models/Audie.png,/wiki/Audie,https://nookipedia.com/w/images/8/80/Audie_NH_Icon.png,villager_icons/Audie.png,Peppy,Wolf,August 31st,Foxtrot,Female,Unknown,Unknown,NA,Unknown,NA,K.K. Island,Unknown,3,1,#ff7348,#fff8ba,#fffe70,Orange,"Yellows, Oranges & Ochres"
Aurora,https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Aurora_poster.png/revision/latest?cb=20200410190924,villager_models/Aurora.png,/wiki/Aurora_(penguin),https://nookipedia.com/w/images/3/3d/Aurora_NH_Icon.png,villager_icons/Aurora.png,Normal,Penguin,January 27th,b-b-baby,Female,Killimanjaro,Regular milk,2,Two spoons,2,K.K. Gumbo,Official,77,4,#fefefe,#1f1f20,#ffe300,White/Lightest Pastel,White/Light Pastels
Ava,https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Ava_poster.png/revision/latest?cb=20200328180547,villager_models/Ava.png,/wiki/Ava,https://nookipedia.com/w/images/0/01/Ava_NH_Icon.png,villager_icons/Ava.png,Normal,Chicken,April 28th,beaker,Female,Blue Mountain,Regular milk,2,Two spoons,2,K.K. Country,Official,288,6,#fff9b3,#a1660c,#c93988,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Avery,https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/NH-Avery_poster.png/revision/latest?cb=20200410191139,villager_models/Avery.png,/wiki/Avery,https://nookipedia.com/w/images/7/7f/Avery_NH_Icon.png,villager_icons/Avery.png,Cranky,Eagle,February 22nd,skree-haw,Male,Killimanjaro,Little milk,1,One spoon,1,K.K. Condor,Iconic,138,5,#6b6b6b,#ffaa2c,#b9bba0,Grey Blue/Green,Greys
Axel,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/NH-Axel_poster.png/revision/latest?cb=20200328180603,villager_models/Axel.png,/wiki/Axel,https://nookipedia.com/w/images/c/c7/Axel_NH_Icon.png,villager_icons/Axel.png,Jock,Elephant,March 23rd,WHONK,Male,Killimanjaro,Little milk,1,One spoon,1,K.K. Dixie,Sporty,288,6,#0c80bf,#0c81bf,#0c80be,Mid Blue,"Mid Blues, Cyans & Teals"
Baabara,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/NH-Baabara_poster.png/revision/latest?cb=20200410184807,villager_models/Baabara.png,/wiki/Baabara,https://nookipedia.com/w/images/f/f1/Baabara_NH_Icon.png,villager_icons/Baabara.png,Snooty,Sheep,March 28th,daahling,Female,Mocha,No milk,0,No sugar,0,K.K. Swing,Ornate,288,6,#974407,#5c05de,#c6a8ff,Maroon,Browns and Maroons
Bam,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Bam_poster.png/revision/latest?cb=20200328183904,villager_models/Bam.png,/wiki/Bam,https://nookipedia.com/w/images/4/45/Bam_NH_Icon.png,villager_icons/Bam.png,Jock,Deer,November 7th,kablang,Male,House Blend,Little milk,1,One spoon,1,Dj K.K.,Sporty,30,2,#1990fe,#e8fbfe,#251e0a,Mid Blue,"Mid Blues, Cyans & Teals"
Bangle,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Bangle_poster.png/revision/latest?cb=20200410183706,villager_models/Bangle.png,/wiki/Bangle,https://nookipedia.com/w/images/1/11/Bangle_NH_Icon.png,villager_icons/Bangle.png,Peppy,Tiger,August 27th,growf,Female,Mocha,Little milk,1,One spoon,1,K.K. Soul,Ornate,111,4,#b74a00,#993e00,#ffffff,Red,Reds
Barold,https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH-Barold_poster.png/revision/latest?cb=20200328183917,villager_models/Barold.png,/wiki/Barold,https://nookipedia.com/w/images/9/95/Barold_NH_Icon.png,villager_icons/Barold.png,Lazy,Cub,March 2nd,cubby,Male,Blue Mountain,No milk,0,No sugar,0,My Place,Historical,288,6,#8f9d9a,#5c605f,#fefefe,Pastel Brown/Green,Greens
Beau,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-Beau_poster.png/revision/latest?cb=20200328183936,villager_models/Beau.png,/wiki/Beau,https://nookipedia.com/w/images/d/d2/Beau_NH_Icon.png,villager_icons/Beau.png,Lazy,Deer,April 5th,saltlick,Male,Mocha,Lots of milk,3,Three spoons,3,Mountain Song,Basic,9,1,#fb833b,#fefcf7,#f7eb8c,Orange,"Yellows, Oranges & Ochres"
Bea,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Bea_poster.png/revision/latest?cb=20200328183923,villager_models/Bea.png,/wiki/Bea,https://nookipedia.com/w/images/c/c1/Bea_NH_Icon.png,villager_icons/Bea.png,Normal,Dog,October 15th,bingo,Female,Killimanjaro,Little milk,1,One spoon,1,K.K. Soul,Unknown,87,4,#a87850,#89472e,#703322,Grey Blue/Green,Greys
Beardo,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Beardo_poster.png/revision/latest?cb=20200328183930,villager_models/Beardo.png,/wiki/Beardo,https://nookipedia.com/w/images/e/eb/Beardo_NH_Icon.png,villager_icons/Beardo.png,Smug,Bear,September 27th,whiskers,Male,Blue Mountain,Little milk,1,One spoon,1,K.K. Sonata,Official,175,5,#7df0fd,#834531,#ff8f68,Pastel/Muted Blue,"Mid Blues, Cyans & Teals"
Becky,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/NH-Becky_poster.png/revision/latest?cb=20200328183943,villager_models/Becky.png,/wiki/Becky,https://nookipedia.com/w/images/2/2f/Becky_NH_Icon.png,villager_icons/Becky.png,Snooty,Chicken,December 9th,chicklet,Female,Mocha,Little milk,1,One spoon,1,K.K. Aria,Ornate,218,5,#d2ace2,#7e408d,#e5dfed,Pastel Pink,Pinks
Bella,https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/NH-Bella_poster.png/revision/latest?cb=20200410192458,villager_models/Bella.png,/wiki/Bella,https://nookipedia.com/w/images/5/52/Bella_NH_Icon.png,villager_icons/Bella.png,Peppy,Mouse,December 28th,eeks,Female,Mocha,No milk,0,No sugar,0,K.K. Metal,Rock n roll,219,5,#f9f9f9,#fecffe,#8b8c8c,White/Lightest Pastel,White/Light Pastels
Benedict,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0e/NH-Benedict_poster.png/revision/latest?cb=20200328183955,villager_models/Benedict.png,/wiki/Benedict,https://nookipedia.com/w/images/7/72/Benedict_NH_Icon.png,villager_icons/Benedict.png,Lazy,Chicken,October 10th,uh-hoo,Male,Mocha,Little milk,1,One spoon,1,I Love You,Historical,220,5,#ff013c,#fcf9fa,#ffffff,Red,Reds
Benjamin,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/NH-Benjamin_poster.png/revision/latest?cb=20200328184001,villager_models/Benjamin.png,/wiki/Benjamin,https://nookipedia.com/w/images/1/1f/Benjamin_NH_Icon.png,villager_icons/Benjamin.png,Lazy,Dog,August 3rd,alrighty,Male,Killimanjaro,Little milk,1,One spoon,1,Wandering,Historical,176,5,#fffb21,#fffb20,#fff8d2,Yellow/Ochre,"Yellows, Oranges & Ochres"
Bertha,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/NH-Bertha_poster.png/revision/latest?cb=20200328184009,villager_models/Bertha.png,/wiki/Bertha,https://nookipedia.com/w/images/2/21/Bertha_NH_Icon.png,villager_icons/Bertha.png,Normal,Hippo,April 25th,bloop,Female,Killimanjaro,Lots of milk,3,Three spoons,3,Space K.K.,Iconic,288,6,#0bbcbd,#0bbdbd,#ffffff,Neon Blue/Green,"Mid Blues, Cyans & Teals"
Bettina,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/NH-Bettina_poster.png/revision/latest?cb=20200410192221,villager_models/Bettina.png,/wiki/Bettina,https://nookipedia.com/w/images/b/b9/Bettina_NH_Icon.png,villager_icons/Bettina.png,Normal,Mouse,June 12th,eekers,Female,Killimanjaro,Lots of milk,3,Three spoons,3,K.K. Swing,Official,288,6,#f8612b,#feff0b,#f7612c,Yellow/Ochre,"Yellows, Oranges & Ochres"
Bianca,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/NH-Bianca_poster.png/revision/latest?cb=20200410183555,villager_models/Bianca.png,/wiki/Bianca,https://nookipedia.com/w/images/2/20/Bianca_NH_Icon.png,villager_icons/Bianca.png,Peppy,Tiger,December 13th,glimmer,Female,Killimanjaro,No milk,0,No sugar,0,K.K. House,Modern,78,4,#eaf2e4,#ffffff,#eaf2e5,White/Lightest Pastel,White/Light Pastels
Biff,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Biff_poster.png/revision/latest?cb=20200328184029,villager_models/Biff.png,/wiki/Biff,https://nookipedia.com/w/images/3/34/Biff_NH_Icon.png,villager_icons/Biff.png,Jock,Hippo,March 29th,squirt,Male,Mocha,No milk,0,No sugar,0,The K. Funk,Flashy,288,6,#a83f3f,#fdbf90,#ffffff,Maroon,Browns and Maroons
Big Top,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Big_Top_poster.png/revision/latest?cb=20200328184036,villager_models/Big Top.png,/wiki/Big_Top,https://nookipedia.com/w/images/e/e1/Big_Top_NH_Icon.png,villager_icons/Big Top.png,Lazy,Elephant,October 3rd,villain,Male,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Metal,Basic,221,5,#14cb02,#b0afd4,#ffffff,Spring Green,Greens
Bill,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-Bill_poster.png/revision/latest?cb=20200328184045,villager_models/Bill.png,/wiki/Bill,https://nookipedia.com/w/images/e/e1/Bill_NH_Icon.png,villager_icons/Bill.png,Jock,Duck,February 1st,quacko,Male,Killimanjaro,Little milk,1,One spoon,1,King K.K.,Sporty,88,4,#922025,#fca90b,#ffffff,Maroon,Browns and Maroons
Billy,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d3/NH-Billy_poster.png/revision/latest?cb=20200328184052,villager_models/Billy.png,/wiki/Billy,https://nookipedia.com/w/images/6/64/Billy_NH_Icon.png,villager_icons/Billy.png,Jock,Goat,March 25th,dagnaabit,Male,Blue Mountain,No milk,0,No sugar,0,K.K. Sonata,Unknown,222,5,#c86828,#c76828,#f8c830,Red,Reds
Biskit,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/NH-Biskit_poster.png/revision/latest?cb=20200328184058,villager_models/Biskit.png,/wiki/Biskit,https://nookipedia.com/w/images/d/da/Biskit_NH_Icon.png,villager_icons/Biskit.png,Lazy,Dog,May 13th,dog,Male,Mocha,Regular milk,2,Two spoons,2,K.K. Mambo,Basic,89,4,#ffb628,#3a2712,#ffffff,Yellow/Ochre,"Yellows, Oranges & Ochres"
Bitty,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Bitty_poster.png/revision/latest?cb=20200328184106,villager_models/Bitty.png,/wiki/Bitty,https://nookipedia.com/w/images/b/bb/Bitty_NH_Icon.png,villager_icons/Bitty.png,Snooty,Hippo,October 6th,my dear,Female,Mocha,No milk,0,No sugar,0,K.K. Disco,Cute,288,6,#f8a0c8,#803800,#ffffff,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Blaire,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f3/NH-Blaire_poster.png/revision/latest?cb=20200410184330,villager_models/Blaire.png,/wiki/Blaire,https://nookipedia.com/w/images/7/74/Blaire_NH_Icon.png,villager_icons/Blaire.png,Snooty,Squirrel,July 3rd,nutlet,Female,House Blend,No milk,0,No sugar,0,K.K. Island,Official,223,5,#555655,#fffed8,#ffffff,Mid Grey,Greys
Blanche,https://vignette.wikia.nocookie.net/animalcrossing/images/1/18/NH-Blanche_poster.png/revision/latest?cb=20200410191641,villager_models/Blanche.png,/wiki/Blanche,https://nookipedia.com/w/images/8/88/Blanche_NH_Icon.png,villager_icons/Blanche.png,Snooty,Ostrich,December 21st,quite so,Female,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Jongara,Official,90,4,#f6f7f1,#fecdc2,#67748b,White/Lightest Pastel,White/Light Pastels
Bluebear,https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-Bluebear_poster.png/revision/latest?cb=20200328184132,villager_models/Bluebear.png,/wiki/Bluebear,https://nookipedia.com/w/images/f/f9/Bluebear_NH_Icon.png,villager_icons/Bluebear.png,Peppy,Cub,June 24th,peach,Female,Mocha,Lots of milk,3,Three spoons,3,K.K. Ska,Cute,59,3,#6be7f9,#2871ae,#fef9e9,Pastel/Muted Blue,"Mid Blues, Cyans & Teals"
Bob,https://vignette.wikia.nocookie.net/animalcrossing/images/1/14/NH-Bob_poster.png/revision/latest?cb=20200410181927,villager_models/Bob.png,/wiki/Bob,https://nookipedia.com/w/images/2/2d/Bob_NH_Icon.png,villager_icons/Bob.png,Lazy,Cat,January 1st,pthhhpth,Male,Killimanjaro,No milk,0,No sugar,0,[K.K. Ragtime Neopolitan (Nh)],Flashy,18,2,#e7a1f7,#ad2fff,#e7a2f7,White/Lightest Pastel,White/Light Pastels
Bonbon,https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/NH-Bonbon_poster.png/revision/latest?cb=20200410185137,villager_models/Bonbon.png,/wiki/Bonbon,https://nookipedia.com/w/images/b/be/Bonbon_NH_Icon.png,villager_icons/Bonbon.png,Peppy,Rabbit,March 3rd,deelish,Female,Mocha,Regular milk,2,Two spoons,2,K.K. Disco,Cute,224,5,#a49486,#b19f90,#856e58,Pastel Brown/Green,Greens
Bones,https://vignette.wikia.nocookie.net/animalcrossing/images/9/91/NH-Bones_poster.png/revision/latest?cb=20200328184154,villager_models/Bones.png,/wiki/Bones,https://nookipedia.com/w/images/f/fb/Bones_NH_Icon.png,villager_icons/Bones.png,Lazy,Dog,August 4th,yip yip,Male,Mocha,Regular milk,2,Two spoons,2,Forest Life,Historical,112,4,#fffffe,#ffffff,#f7adae,White/Lightest Pastel,White/Light Pastels
Boomer,https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/NH-Boomer_poster.png/revision/latest?cb=20200410190457,villager_models/Boomer.png,/wiki/Boomer,https://nookipedia.com/w/images/8/88/Boomer_NH_Icon.png,villager_icons/Boomer.png,Lazy,Penguin,February 7th,human,Male,House Blend,Little milk,1,One spoon,1,Aloha K.K.,Historical,288,6,#ffe300,#8d8e40,#693200,Yellow/Ochre,"Yellows, Oranges & Ochres"
Boone,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/NH-Boone_poster.png/revision/latest?cb=20200328184208,villager_models/Boone.png,/wiki/Boone,https://nookipedia.com/w/images/4/4c/Boone_NH_Icon.png,villager_icons/Boone.png,Jock,Gorilla,September 12th,baboom,Male,House Blend,Little milk,1,One spoon,1,K.K. Western,Iconic,139,5,#f4b362,#fafafa,#8bfbf9,Orange,"Yellows, Oranges & Ochres"
Boots,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f3/NH-Boots_poster.png/revision/latest?cb=20200328184215,villager_models/Boots.png,/wiki/Boots,https://nookipedia.com/w/images/6/61/Boots_NH_Icon.png,villager_icons/Boots.png,Jock,Alligator,August 7th,munchie,Male,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Rally,Unknown,140,5,#085808,#ffffff,#a0c000,Dark Grey/Black,Black and Dark Colours
Boris,https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/NH-Boris_poster.png/revision/latest?cb=20200410190014,villager_models/Boris.png,/wiki/Boris,https://nookipedia.com/w/images/3/36/Boris_NH_Icon.png,villager_icons/Boris.png,Cranky,Pig,November 6th,schnort,Male,Killimanjaro,Lots of milk,3,Three spoons,3,K.K. House,Unknown,225,5,#304068,#7494bb,#ff9f81,Mid Grey,Greys
Boyd,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/NH-Boyd_poster.png/revision/latest?cb=20200328184228,villager_models/Boyd.png,/wiki/Boyd,https://nookipedia.com/w/images/3/30/Boyd_NH_Icon.png,villager_icons/Boyd.png,Cranky,Gorilla,October 1st,uh-oh,Male,Mocha,Lots of milk,3,Three spoons,3,K.K. Groove,Unknown,288,6,#e2c490,#682830,#e8c0a8,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Bree,https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/NH-Bree_poster.png/revision/latest?cb=20200410192442,villager_models/Bree.png,/wiki/Bree,https://nookipedia.com/w/images/6/66/Bree_NH_Icon.png,villager_icons/Bree.png,Snooty,Mouse,July 7th,cheeseball,Female,House Blend,Regular milk,2,Two spoons,2,Two Days Ago,Official,177,5,#ffffff,#388600,#fedaff,White/Lightest Pastel,White/Light Pastels
Broccolo,https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/NH-Broccolo_poster.png/revision/latest?cb=20200410192254,villager_models/Broccolo.png,/wiki/Broccolo,https://nookipedia.com/w/images/c/c7/Broccolo_NH_Icon.png,villager_icons/Broccolo.png,Lazy,Mouse,June 30th,eat it,Male,House Blend,Regular milk,2,Two spoons,2,K.K. Ragtime,Flashy,226,5,#54d4fe,#9e7715,#feceff,Pastel/Muted Blue,"Mid Blues, Cyans & Teals"
Bruce,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Bruce_poster.png/revision/latest?cb=20200328184302,villager_models/Bruce.png,/wiki/Bruce,https://nookipedia.com/w/images/8/8f/Bruce_NH_Icon.png,villager_icons/Bruce.png,Cranky,Deer,May 26th,gruff,Male,Blue Mountain,No milk,0,No sugar,0,K.K. Blues,Rock n roll,100,4,#e0fefe,#2f7d9b,#459aba,White/Lightest Pastel,White/Light Pastels
Broffina,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/NH-Broffina_poster.png/revision/latest?cb=20200328184255,villager_models/Broffina.png,/wiki/Broffina,https://nookipedia.com/w/images/6/68/Broffina_NH_Icon.png,villager_icons/Broffina.png,Snooty,Chicken,October 24th,cluckadoo,Female,House Blend,Lots of milk,3,Three spoons,3,K.K. Flamenco,Flashy,178,5,#ff8127,#f59b0d,#f07d1c,Yellow/Ochre,"Yellows, Oranges & Ochres"
Bubbles,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/NH-Bubbles_poster.png/revision/latest?cb=20200328184338,villager_models/Bubbles.png,/wiki/Bubbles,https://nookipedia.com/w/images/a/ad/Bubbles_NH_Icon.png,villager_icons/Bubbles.png,Peppy,Hippo,September 18th,hipster,Female,Mocha,No milk,0,No sugar,0,K.K. Stroll,Sporty,227,5,#f2903a,#ffffff,#ce7429,Orange,"Yellows, Oranges & Ochres"
